date,q_cfs
2016-10-01,26.1
2016-10-02,26.4
2016-10-03,27.4
2016-10-04,28.6
2016-10-05,30.4
2016-10-06,31.7
2016-10-07,32.6
2016-10-08,32.2
2016-10-09,31.4
2016-10-10,31.0
2016-10-11,30.7
2016-10-12,30.6
2016-10-13,32.1
2016-10-14,37.8
2016-10-15,55.5
2016-10-16,66.1
2016-10-17,76.5
2016-10-18,85.7
2016-10-19,77.1
2016-10-20,65.8
2016-10-21,58.6
2016-10-22,55.5
2016-10-23,54.1
2016-10-24,52.4
2016-10-25,61.2
2016-10-26,72.1
2016-10-27,64.5
2016-10-28,59.1
2016-10-29,58.0
2016-10-30,59.7
2016-10-31,87.5
2016-11-01,86.9
2016-11-02,74.7
2016-11-03,66.9
2016-11-04,62.1
2016-11-05,59.4
2016-11-06,57.5
2016-11-07,55.9
2016-11-08,54.7
2016-11-09,53.6
2016-11-10,52.9
2016-11-11,52.1
2016-11-12,51.7
2016-11-13,50.8
2016-11-14,50.9
2016-11-15,57.4
2016-11-16,68.0
2016-11-17,66.3
2016-11-18,56.9
2016-11-19,55.7
2016-11-20,57.1
2016-11-21,56.8
2016-11-22,55.1
2016-11-23,56.1
2016-11-24,58.9
2016-11-25,55.1
2016-11-26,54.9
2016-11-27,55.2
2016-11-28,58.7
2016-11-29,55.6
2016-11-30,52.0
2016-12-01,54.5
2016-12-02,35.0
2016-12-03,47.0
2016-12-04,60.0
2016-12-05,47.0
2016-12-06,30.1
2016-12-07,24.7
2016-12-08,32.0
2016-12-09,48.0
2016-12-10,70.0
2016-12-11,73.0
2016-12-12,67.0
2016-12-13,62.0
2016-12-14,56.0
2016-12-15,68.0
2016-12-16,72.0
2016-12-17,66.0
2016-12-18,47.0
2016-12-19,47.0
2016-12-20,66.0
2016-12-21,66.0
2016-12-22,58.0
2016-12-23,56.0
2016-12-24,62.0
2016-12-25,69.0
2016-12-26,63.0
2016-12-27,60.0
2016-12-28,64.0
2016-12-29,63.0
2016-12-30,65.0
2016-12-31,63.0
2017-01-01,67.0
2017-01-02,68.0
2017-01-03,69.0
2017-01-04,72.0
2017-01-05,65.0
2017-01-06,60.0
2017-01-07,65.0
2017-01-08,73.0
2017-01-09,80.0
2017-01-10,95.7
2017-01-11,94.2
2017-01-12,91.2
2017-01-13,89.6
2017-01-14,93.0
2017-01-15,83.3
2017-01-16,85.7
2017-01-17,91.7
2017-01-18,104.0
2017-01-19,117.0
2017-01-20,113.0
2017-01-21,103.0
2017-01-22,90.0
2017-01-23,86.8
2017-01-24,90.3
2017-01-25,91.4
2017-01-26,84.0
2017-01-27,84.2
2017-01-28,87.4
2017-01-29,88.1
2017-01-30,104.0
2017-01-31,106.0
2017-02-01,109.0
2017-02-02,112.0
2017-02-03,111.0
2017-02-04,109.0
2017-02-05,125.0
2017-02-06,138.0
2017-02-07,143.0
2017-02-08,145.0
2017-02-09,321.0
2017-02-10,1020.0
2017-02-11,810.0
2017-02-12,561.0
2017-02-13,437.0
2017-02-14,356.0
2017-02-15,319.0
2017-02-16,322.0
2017-02-17,367.0
2017-02-18,460.0
2017-02-19,685.0
2017-02-20,665.0
2017-02-21,1090.0
2017-02-22,1080.0
2017-02-23,790.0
2017-02-24,621.0
2017-02-25,512.0
2017-02-26,455.0
2017-02-27,413.0
2017-02-28,368.0
2017-03-01,319.0
2017-03-02,289.0
2017-03-03,283.0
2017-03-04,332.0
2017-03-05,365.0
2017-03-06,327.0
2017-03-07,307.0
2017-03-08,310.0
2017-03-09,515.0
2017-03-10,1450.0
2017-03-11,1900.0
2017-03-12,1520.0
2017-03-13,1480.0
2017-03-14,1530.0
2017-03-15,1870.0
2017-03-16,3390.0
2017-03-17,3540.0
2017-03-18,3120.0
2017-03-19,3510.0
2017-03-20,4210.0
2017-03-21,3440.0
2017-03-22,3590.0
2017-03-23,2820.0
2017-03-24,2340.0
2017-03-25,2120.0
2017-03-26,1750.0
2017-03-27,1580.0
2017-03-28,1370.0
2017-03-29,1180.0
2017-03-30,2060.0
2017-03-31,2080.0
2017-04-01,1860.0
2017-04-02,1790.0
2017-04-03,1650.0
2017-04-04,1350.0
2017-04-05,1130.0
2017-04-06,1270.0
2017-04-07,1600.0
2017-04-08,1700.0
2017-04-09,1540.0
2017-04-10,1360.0
2017-04-11,1230.0
2017-04-12,1140.0
2017-04-13,1180.0
2017-04-14,1170.0
2017-04-15,1070.0
2017-04-16,980.0
2017-04-17,1090.0
2017-04-18,1260.0
2017-04-19,1330.0
2017-04-20,1310.0
2017-04-21,1220.0
2017-04-22,1160.0
2017-04-23,1160.0
2017-04-24,1230.0
2017-04-25,1230.0
2017-04-26,1200.0
2017-04-27,1210.0
2017-04-28,1100.0
2017-04-29,1020.0
2017-04-30,978.0
2017-05-01,953.0
2017-05-02,937.0
2017-05-03,975.0
2017-05-04,1070.0
2017-05-05,1280.0
2017-05-06,1420.0
2017-05-07,1530.0
2017-05-08,1420.0
2017-05-09,1360.0
2017-05-10,1350.0
2017-05-11,1380.0
2017-05-12,1420.0
2017-05-13,1280.0
2017-05-14,1110.0
2017-05-15,986.0
2017-05-16,994.0
2017-05-17,1020.0
2017-05-18,838.0
2017-05-19,780.0
2017-05-20,748.0
2017-05-21,744.0
2017-05-22,792.0
2017-05-23,877.0
2017-05-24,986.0
2017-05-25,1020.0
2017-05-26,950.0
2017-05-27,892.0
2017-05-28,878.0
2017-05-29,894.0
2017-05-30,911.0
2017-05-31,949.0
2017-06-01,979.0
2017-06-02,928.0
2017-06-03,847.0
2017-06-04,816.0
2017-06-05,778.0
2017-06-06,726.0
2017-06-07,685.0
2017-06-08,679.0
2017-06-09,641.0
2017-06-10,595.0
2017-06-11,550.0
2017-06-12,535.0
2017-06-13,758.0
2017-06-14,582.0
2017-06-15,514.0
2017-06-16,487.0
2017-06-17,475.0
2017-06-18,446.0
2017-06-19,434.0
2017-06-20,428.0
2017-06-21,419.0
2017-06-22,387.0
2017-06-23,352.0
2017-06-24,324.0
2017-06-25,301.0
2017-06-26,284.0
2017-06-27,270.0
2017-06-28,260.0
2017-06-29,243.0
2017-06-30,226.0
2017-07-01,211.0
2017-07-02,198.0
2017-07-03,185.0
2017-07-04,175.0
2017-07-05,167.0
2017-07-06,156.0
2017-07-07,146.0
2017-07-08,136.0
2017-07-09,129.0
2017-07-10,123.0
2017-07-11,118.0
2017-07-12,113.0
2017-07-13,108.0
2017-07-14,103.0
2017-07-15,99.3
2017-07-16,94.9
2017-07-17,90.6
2017-07-18,87.5
2017-07-19,84.7
2017-07-20,82.1
2017-07-21,79.2
2017-07-22,76.6
2017-07-23,74.1
2017-07-24,72.1
2017-07-25,73.0
2017-07-26,74.2
2017-07-27,76.6
2017-07-28,71.2
2017-07-29,67.1
2017-07-30,63.2
2017-07-31,60.4
2017-08-01,57.7
2017-08-02,56.6
2017-08-03,53.8
2017-08-04,51.6
2017-08-05,49.7
2017-08-06,49.0
2017-08-07,48.6
2017-08-08,50.2
2017-08-09,48.5
2017-08-10,47.3
2017-08-11,45.5
2017-08-12,43.9
2017-08-13,43.3
2017-08-14,46.4
2017-08-15,47.9
2017-08-16,44.8
2017-08-17,42.2
2017-08-18,40.9
2017-08-19,39.2
2017-08-20,37.9
2017-08-21,37.7
2017-08-22,36.6
2017-08-23,35.2
2017-08-24,41.0
2017-08-25,40.8
2017-08-26,36.9
2017-08-27,34.3
2017-08-28,33.1
2017-08-29,33.1
2017-08-30,32.0
2017-08-31,32.7
2017-09-01,31.6
2017-09-02,30.6
2017-09-03,29.7
