date,q_cfs
2016-10-01,329.0
2016-10-02,331.0
2016-10-03,342.0
2016-10-04,351.0
2016-10-05,352.0
2016-10-06,357.0
2016-10-07,358.0
2016-10-08,351.0
2016-10-09,345.0
2016-10-10,341.0
2016-10-11,340.0
2016-10-12,338.0
2016-10-13,341.0
2016-10-14,385.0
2016-10-15,523.0
2016-10-16,628.0
2016-10-17,609.0
2016-10-18,599.0
2016-10-19,559.0
2016-10-20,507.0
2016-10-21,478.0
2016-10-22,475.0
2016-10-23,464.0
2016-10-24,456.0
2016-10-25,553.0
2016-10-26,592.0
2016-10-27,533.0
2016-10-28,523.0
2016-10-29,569.0
2016-10-30,562.0
2016-10-31,959.0
2016-11-01,882.0
2016-11-02,783.0
2016-11-03,705.0
2016-11-04,654.0
2016-11-05,615.0
2016-11-06,586.0
2016-11-07,559.0
2016-11-08,538.0
2016-11-09,521.0
2016-11-10,508.0
2016-11-11,496.0
2016-11-12,485.0
2016-11-13,475.0
2016-11-14,469.0
2016-11-15,498.0
2016-11-16,545.0
2016-11-17,506.0
2016-11-18,444.0
2016-11-19,479.0
2016-11-20,467.0
2016-11-21,458.0
2016-11-22,444.0
2016-11-23,450.0
2016-11-24,441.0
2016-11-25,425.0
2016-11-26,435.0
2016-11-27,433.0
2016-11-28,447.0
2016-11-29,405.0
2016-11-30,375.0
2016-12-01,431.0
2016-12-02,359.0
2016-12-03,397.0
2016-12-04,447.0
2016-12-05,384.0
2016-12-06,298.0
2016-12-07,351.0
2016-12-08,319.0
2016-12-09,474.0
2016-12-10,546.0
2016-12-11,511.0
2016-12-12,480.0
2016-12-13,422.0
2016-12-14,424.0
2016-12-15,480.0
2016-12-16,548.0
2016-12-17,428.0
2016-12-18,323.0
2016-12-19,373.0
2016-12-20,501.0
2016-12-21,483.0
2016-12-22,428.0
2016-12-23,370.0
2016-12-24,430.0
2016-12-25,480.0
2016-12-26,425.0
2016-12-27,384.0
2016-12-28,430.0
2016-12-29,405.0
2016-12-30,425.0
2016-12-31,408.0
2017-01-01,415.0
2017-01-02,426.0
2017-01-03,460.0
2017-01-04,482.0
2017-01-05,430.0
2017-01-06,360.0
2017-01-07,369.0
2017-01-08,405.0
2017-01-09,447.0
2017-01-10,506.0
2017-01-11,462.0
2017-01-12,443.0
2017-01-13,432.0
2017-01-14,430.0
2017-01-15,443.0
2017-01-16,432.0
2017-01-17,451.0
2017-01-18,493.0
2017-01-19,555.0
2017-01-20,540.0
2017-01-21,535.0
2017-01-22,498.0
2017-01-23,505.0
2017-01-24,465.0
2017-01-25,442.0
2017-01-26,476.0
2017-01-27,444.0
2017-01-28,435.0
2017-01-29,420.0
2017-01-30,480.0
2017-01-31,520.0
2017-02-01,540.0
2017-02-02,560.0
2017-02-03,610.0
2017-02-04,654.0
2017-02-05,712.0
2017-02-06,728.0
2017-02-07,798.0
2017-02-08,749.0
2017-02-09,1610.0
2017-02-10,5400.0
2017-02-11,3330.0
2017-02-12,2180.0
2017-02-13,1710.0
2017-02-14,1460.0
2017-02-15,1360.0
2017-02-16,1370.0
2017-02-17,1550.0
2017-02-18,1540.0
2017-02-19,1790.0
2017-02-20,1710.0
2017-02-21,2540.0
2017-02-22,2340.0
2017-02-23,1880.0
2017-02-24,1570.0
2017-02-25,1340.0
2017-02-26,1220.0
2017-02-27,1110.0
2017-02-28,1040.0
2017-03-01,946.0
2017-03-02,867.0
2017-03-03,859.0
2017-03-04,888.0
2017-03-05,881.0
2017-03-06,847.0
2017-03-07,822.0
2017-03-08,828.0
2017-03-09,1050.0
2017-03-10,2620.0
2017-03-11,3320.0
2017-03-12,2630.0
2017-03-13,2600.0
2017-03-14,2710.0
2017-03-15,3690.0
2017-03-16,6310.0
2017-03-17,6710.0
2017-03-18,6130.0
2017-03-19,7730.0
2017-03-20,8740.0
2017-03-21,7260.0
2017-03-22,8190.0
2017-03-23,6970.0
2017-03-24,6030.0
2017-03-25,5090.0
2017-03-26,4460.0
2017-03-27,3970.0
2017-03-28,3580.0
2017-03-29,3400.0
2017-03-30,4340.0
2017-03-31,4380.0
2017-04-01,4360.0
2017-04-02,4560.0
2017-04-03,4610.0
2017-04-04,4060.0
2017-04-05,3670.0
2017-04-06,3920.0
2017-04-07,4720.0
2017-04-08,5130.0
2017-04-09,4390.0
2017-04-10,3780.0
2017-04-11,3320.0
2017-04-12,3070.0
2017-04-13,3410.0
2017-04-14,3410.0
2017-04-15,3120.0
2017-04-16,2960.0
2017-04-17,3540.0
2017-04-18,4180.0
2017-04-19,4340.0
2017-04-20,4430.0
2017-04-21,4140.0
2017-04-22,4110.0
2017-04-23,4330.0
2017-04-24,4590.0
2017-04-25,4320.0
2017-04-26,4280.0
2017-04-27,4010.0
2017-04-28,3640.0
2017-04-29,3440.0
2017-04-30,3520.0
2017-05-01,3540.0
2017-05-02,3830.0
2017-05-03,4390.0
2017-05-04,5160.0
2017-05-05,6990.0
2017-05-06,9780.0
2017-05-07,11800.0
2017-05-08,9380.0
2017-05-09,8820.0
2017-05-10,8900.0
2017-05-11,9380.0
2017-05-12,10300.0
2017-05-13,8790.0
2017-05-14,6920.0
2017-05-15,5750.0
2017-05-16,5330.0
2017-05-17,4790.0
2017-05-18,4150.0
2017-05-19,3790.0
2017-05-20,3710.0
2017-05-21,3920.0
2017-05-22,4850.0
2017-05-23,6210.0
2017-05-24,7870.0
2017-05-25,8300.0
2017-05-26,6740.0
2017-05-27,5820.0
2017-05-28,5980.0
2017-05-29,6890.0
2017-05-30,7840.0
2017-05-31,8980.0
2017-06-01,9830.0
2017-06-02,8770.0
2017-06-03,8100.0
2017-06-04,8510.0
2017-06-05,9020.0
2017-06-06,7730.0
2017-06-07,7370.0
2017-06-08,8540.0
2017-06-09,7390.0
2017-06-10,6100.0
2017-06-11,4870.0
2017-06-12,4360.0
2017-06-13,4500.0
2017-06-14,3820.0
2017-06-15,3620.0
2017-06-16,4040.0
2017-06-17,4590.0
2017-06-18,4820.0
2017-06-19,5420.0
2017-06-20,6080.0
2017-06-21,6920.0
2017-06-22,5990.0
2017-06-23,4790.0
2017-06-24,4260.0
2017-06-25,4150.0
2017-06-26,4310.0
2017-06-27,4510.0
2017-06-28,4200.0
2017-06-29,3700.0
2017-06-30,3120.0
2017-07-01,3000.0
2017-07-02,2910.0
2017-07-03,2870.0
2017-07-04,2910.0
2017-07-05,2700.0
2017-07-06,2670.0
2017-07-07,2480.0
2017-07-08,2370.0
2017-07-09,2270.0
2017-07-10,2180.0
2017-07-11,2030.0
2017-07-12,1840.0
2017-07-13,1680.0
2017-07-14,1610.0
2017-07-15,1540.0
2017-07-16,1490.0
2017-07-17,1410.0
2017-07-18,1310.0
2017-07-19,1230.0
2017-07-20,1170.0
2017-07-21,1110.0
2017-07-22,1060.0
2017-07-23,1010.0
2017-07-24,981.0
2017-07-25,962.0
2017-07-26,989.0
2017-07-27,963.0
2017-07-28,913.0
2017-07-29,877.0
2017-07-30,834.0
2017-07-31,799.0
2017-08-01,771.0
2017-08-02,752.0
2017-08-03,723.0
2017-08-04,703.0
2017-08-05,684.0
2017-08-06,671.0
2017-08-07,665.0
2017-08-08,667.0
2017-08-09,650.0
2017-08-10,639.0
2017-08-11,633.0
2017-08-12,618.0
2017-08-13,601.0
2017-08-14,631.0
2017-08-15,613.0
2017-08-16,584.0
2017-08-17,565.0
2017-08-18,551.0
2017-08-19,536.0
2017-08-20,526.0
2017-08-21,519.0
2017-08-22,515.0
2017-08-23,507.0
2017-08-24,529.0
2017-08-25,507.0
2017-08-26,488.0
2017-08-27,477.0
2017-08-28,467.0
2017-08-29,466.0
2017-08-30,456.0
2017-08-31,462.0
2017-09-01,451.0
2017-09-02,445.0
2017-09-03,438.0
2017-09-04,428.0
2017-09-05,424.0
2017-09-06,426.0
2017-09-07,425.0
2017-09-08,422.0
2017-09-09,431.0
2017-09-10,444.0
2017-09-11,428.0
2017-09-12,417.0
2017-09-13,417.0
2017-09-14,417.0
2017-09-15,437.0
2017-09-16,439.0
2017-09-17,435.0
2017-09-18,452.0
2017-09-19,617.0
2017-09-20,582.0
2017-09-21,625.0
2017-09-22,588.0
2017-09-23,556.0
2017-09-24,529.0
2017-09-25,512.0
2017-09-26,502.0
2017-09-27,496.0
2017-09-28,489.0
2017-09-29,480.0
2017-09-30,491.0
