date,q_cfs
2016-10-01,376.0
2016-10-02,372.0
2016-10-03,366.0
2016-10-04,374.0
2016-10-05,370.0
2016-10-06,370.0
2016-10-07,374.0
2016-10-08,374.0
2016-10-09,374.0
2016-10-10,372.0
2016-10-11,371.0
2016-10-12,380.0
2016-10-13,376.0
2016-10-14,382.0
2016-10-15,375.0
2016-10-16,373.0
2016-10-17,370.0
2016-10-18,371.0
2016-10-19,370.0
2016-10-20,370.0
2016-10-21,366.0
2016-10-22,366.0
2016-10-23,368.0
2016-10-24,376.0
2016-10-25,380.0
2016-10-26,370.0
2016-10-27,369.0
2016-10-28,376.0
2016-10-29,381.0
2016-10-30,383.0
2016-10-31,396.0
2016-11-01,381.0
2016-11-02,372.0
2016-11-03,369.0
2016-11-04,373.0
2016-11-05,376.0
2016-11-06,376.0
2016-11-07,375.0
2016-11-08,372.0
2016-11-09,379.0
2016-11-10,374.0
2016-11-11,374.0
2016-11-12,385.0
2016-11-13,386.0
2016-11-14,384.0
2016-11-15,382.0
2016-11-16,385.0
2016-11-17,385.0
2016-11-18,383.0
2016-11-19,379.0
2016-11-20,380.0
2016-11-21,378.0
2016-11-22,372.0
2016-11-23,367.0
2016-11-24,361.0
2016-11-25,363.0
2016-11-26,363.0
2016-11-27,363.0
2016-11-28,372.0
2016-11-29,367.0
2016-11-30,372.0
2016-12-01,376.0
2016-12-02,370.0
2016-12-03,377.0
2016-12-04,383.0
2016-12-05,375.0
2016-12-06,372.0
2016-12-07,373.0
2016-12-08,376.0
2016-12-09,383.0
2016-12-10,405.0
2016-12-11,389.0
2016-12-12,384.0
2016-12-13,381.0
2016-12-14,386.0
2016-12-15,393.0
2016-12-16,367.0
2016-12-17,353.0
2016-12-18,348.0
2016-12-19,354.0
2016-12-20,362.0
2016-12-21,362.0
2016-12-22,361.0
2016-12-23,372.0
2016-12-24,374.0
2016-12-25,365.0
2016-12-26,370.0
2016-12-27,374.0
2016-12-28,364.0
2016-12-29,361.0
2016-12-30,365.0
2016-12-31,362.0
2017-01-01,363.0
2017-01-02,365.0
2017-01-03,371.0
2017-01-04,373.0
2017-01-05,366.0
2017-01-06,373.0
2017-01-07,370.0
2017-01-08,374.0
2017-01-09,376.0
2017-01-10,389.0
2017-01-11,412.0
2017-01-12,384.0
2017-01-13,361.0
2017-01-14,362.0
2017-01-15,373.0
2017-01-16,378.0
2017-01-17,383.0
2017-01-18,388.0
2017-01-19,390.0
2017-01-20,381.0
2017-01-21,375.0
2017-01-22,370.0
2017-01-23,372.0
2017-01-24,369.0
2017-01-25,368.0
2017-01-26,375.0
2017-01-27,385.0
2017-01-28,379.0
2017-01-29,365.0
2017-01-30,381.0
2017-01-31,384.0
2017-02-01,376.0
2017-02-02,371.0
2017-02-03,374.0
2017-02-04,381.0
2017-02-05,403.0
2017-02-06,419.0
2017-02-07,431.0
2017-02-08,425.0
2017-02-09,539.0
2017-02-10,740.0
2017-02-11,684.0
2017-02-12,601.0
2017-02-13,552.0
2017-02-14,519.0
2017-02-15,515.0
2017-02-16,519.0
2017-02-17,527.0
2017-02-18,625.0
2017-02-19,745.0
2017-02-20,711.0
2017-02-21,958.0
2017-02-22,883.0
2017-02-23,769.0
2017-02-24,687.0
2017-02-25,620.0
2017-02-26,594.0
2017-02-27,570.0
2017-02-28,551.0
2017-03-01,525.0
2017-03-02,516.0
2017-03-03,510.0
2017-03-04,525.0
2017-03-05,525.0
2017-03-06,507.0
2017-03-07,501.0
2017-03-08,520.0
2017-03-09,623.0
2017-03-10,821.0
2017-03-11,841.0
2017-03-12,839.0
2017-03-13,870.0
2017-03-14,887.0
2017-03-15,961.0
2017-03-16,1180.0
2017-03-17,1420.0
2017-03-18,1510.0
2017-03-19,1600.0
2017-03-20,1580.0
2017-03-21,1540.0
2017-03-22,1620.0
2017-03-23,1860.0
2017-03-24,2000.0
2017-03-25,2010.0
2017-03-26,1910.0
2017-03-27,2020.0
2017-03-28,2410.0
2017-03-29,2420.0
2017-03-30,2870.0
2017-03-31,2770.0
2017-04-01,2770.0
2017-04-02,2790.0
2017-04-03,2800.0
2017-04-04,2740.0
2017-04-05,2860.0
2017-04-06,3180.0
