datetime,prec_mm,tavg_degc,swe_mm,flow_cms
2000-10-01,5.08,5.0,0.0,8.69358904201582
2000-10-02,0.0,2.6,0.0,9.061721477019747
2000-10-03,0.0,0.8999999999999986,0.0,8.806860560478565
2000-10-04,0.0,1.7000000000000013,0.0,8.778542680862879
2000-10-05,0.0,-0.4999999999999992,0.0,8.750224801247192
2000-10-06,0.0,1.400000000000002,0.0,8.778542680862879
2000-10-07,0.0,3.900000000000002,0.0,8.778542680862879
2000-10-08,0.0,4.9,0.0,8.721906921631506
2000-10-09,0.0,9.600000000000001,0.0,8.665271162400133
2000-10-10,20.32,1.6000000000000014,0.0,8.835178440094253
2000-10-11,10.16,-0.8000000000000007,7.619999999999999,10.449297578188395
2000-10-12,12.7,-1.0000000000000004,17.779999999999998,12.431549151286465
2000-10-13,0.0,-1.1000000000000003,30.479999999999997,12.601456428980585
2000-10-14,0.0,0.29999999999999954,30.479999999999997,11.242198207427622
2000-10-15,0.0,-1.2000000000000002,30.479999999999997,11.10060880934919
2000-10-16,0.0,0.9999999999999984,27.94,10.534251217035456
2000-10-17,0.0,2.5,27.94,10.222754541262901
2000-10-18,0.0,3.5999999999999983,27.94,10.052847263568781
2000-10-19,2.54,2.5,27.94,9.939575745106033
2000-10-20,17.779999999999998,3.4999999999999987,27.94,9.854622106258974
2000-10-21,10.16,-4.199999999999999,33.019999999999996,12.969588863984512
2000-10-22,0.0,-6.4,38.099999999999994,12.686410067827644
2000-10-23,0.0,-1.4,38.099999999999994,11.043973050117815
2000-10-24,0.0,0.29999999999999954,38.099999999999994,10.590886976266829
2000-10-25,0.0,1.0999999999999983,38.099999999999994,10.336026059725649
2000-10-26,12.7,1.5000000000000016,38.099999999999994,10.336026059725649
2000-10-27,0.0,-0.29999999999999954,50.8,11.610330642431549
2000-10-28,20.32,-0.1999999999999997,50.8,11.185562448196249
2000-10-29,25.4,-2.6999999999999997,71.11999999999999,15.404926510933569
2000-10-30,0.0,-2.6999999999999997,93.98,15.376608631317882
2000-10-31,0.0,-3.5000000000000004,93.98,13.734171613608053
2000-11-01,0.0,-7.6000000000000005,93.98,13.139496141678633
2000-11-02,0.0,-9.3,93.98,12.459867030902151
2000-11-03,0.0,-7.300000000000001,93.98,11.808555799741358
2000-11-04,10.16,-5.1,93.98,11.808555799741358
2000-11-05,0.0,-7.6000000000000005,104.13999999999999,12.261641873592344
2000-11-06,0.0,-12.5,104.13999999999999,11.412105485121742
2000-11-07,0.0,-11.600000000000001,104.13999999999999,10.364343939341335
2000-11-08,10.16,-7.7,104.13999999999999,11.327151846274683
2000-11-09,2.54,-10.1,114.3,11.836873679357044
2000-11-10,0.0,-11.100000000000001,116.83999999999999,11.44042336473743
2000-11-11,0.0,-13.0,116.83999999999999,11.015655170502129
2000-11-12,0.0,-14.700000000000001,116.83999999999999,10.137800902415842
2000-11-13,0.0,-12.3,116.83999999999999,9.911257865490347
2000-11-14,7.619999999999999,-9.500000000000002,116.83999999999999,10.902383652039383
2000-11-15,0.0,-11.900000000000002,124.46000000000001,11.610330642431549
2000-11-16,0.0,-14.600000000000001,124.46000000000001,9.826304226643288
2000-11-17,0.0,-13.8,124.46000000000001,9.231628754713867
2000-11-18,0.0,-9.100000000000001,124.46000000000001,8.721906921631506
2000-11-19,0.0,-7.200000000000001,124.46000000000001,9.061721477019747
2000-11-20,0.0,-7.300000000000001,124.46000000000001,10.222754541262901
2000-11-21,0.0,-3.7,124.46000000000001,10.789112133576635
2000-11-22,0.0,-6.6,124.46000000000001,11.383787605506056
2000-11-23,0.0,-5.3,124.46000000000001,10.392661818957022
2000-11-24,2.54,-7.4,124.46000000000001,11.468741244353117
2000-11-25,0.0,-6.4,127.0,10.987337290886442
2000-11-26,5.08,-4.199999999999999,127.0,11.468741244353117
2000-11-27,15.239999999999998,-6.3,132.07999999999998,11.78023792012567
2000-11-28,0.0,-11.600000000000001,147.32,10.647522735498201
2000-11-29,22.86,-3.7,147.32,9.967893624721722
2000-11-30,0.0,-8.3,170.18,12.28995975320803
2000-12-01,0.0,-8.700000000000001,170.18,10.93070153165507
2000-12-02,0.0,-7.7,170.18,9.684714828564854
2000-12-03,0.0,-5.800000000000001,170.18,10.336026059725649
2000-12-04,0.0,-5.800000000000001,170.18,10.704158494729576
2000-12-05,2.54,-3.400000000000001,170.18,10.052847263568781
2000-12-06,0.0,-5.2,172.72,10.081165143184467
2000-12-07,0.0,-4.700000000000001,172.72,10.194436661647215
2000-12-08,0.0,-5.1,172.72,11.10060880934919
2000-12-09,15.239999999999998,-4.500000000000001,172.72,10.959019411270756
2000-12-10,2.54,-12.000000000000002,187.96,10.194436661647215
2000-12-11,0.0,-15.4,190.5,9.62807906933348
2000-12-12,2.54,-11.0,190.5,9.486489671255047
2000-12-13,15.239999999999998,-9.8,193.04,10.93070153165507
2000-12-14,40.64,-6.6,208.27999999999997,11.468741244353117
2000-12-15,12.7,-10.7,248.92000000000002,11.35546972589037
2000-12-16,2.54,-6.4,261.62,9.429853912023674
2000-12-17,10.16,-10.1,264.15999999999997,10.817430013192322
2000-12-18,0.0,-13.500000000000002,274.32,9.62807906933348
2000-12-19,2.54,-5.900000000000001,274.32,8.495363884706013
2000-12-20,0.0,-9.500000000000002,276.86,9.62807906933348
2000-12-21,2.54,-3.5000000000000004,276.86,11.327151846274683
2000-12-22,17.779999999999998,-4.9,279.4,11.95014519781979
2000-12-23,7.619999999999999,-4.700000000000001,297.17999999999995,11.497059123968803
2000-12-24,5.08,-7.6000000000000005,304.79999999999995,11.582012762815863
